english,santhali_devanagari,source,verified
altercation,एपेगेर,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
alternate,बोदोलते,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
alternative,बोदोल लेकाना,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
amalgamation,जोड़ामित ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
amended draft,सुघराव़ प्रारुप,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
amendment,आ़रु फेराव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
amenity,सुक-सुविधा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
amicable,गातेपेरेच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
ammunition,गोला बारुद,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
amortization of debt,दे ना छाड़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
amount,कावडी ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
amount of pension,पेनसन कावडी ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
analogous post,ओनकाल पोद,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
analysis,विछनावते ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
analytical study,बिछनावते ़ पाड़हाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
ancestor,हापड़ाम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
ancillary industry,गोड़ो बिरित,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
animosity,बिबादिया ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
annexure,लाठाआकान,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
anniversary,सेरमाकिया ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
announcement,एतोहोप ् लाईपासनाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
annoyance,बिछोक,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
annual financial statement,बाछरी कावडी ़ बिबरोन,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
annual report,बाछरी रिपोट,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
annuity,बाछरिया,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
anonymous,उकूञुतुम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
anonymous complaint,1. उकूचूकू लाई 2. उकूते लालिस,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
answerability,जोवाबदे ही,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
answer sheet,लाना ़ ई़ साकाम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
antagonist,बिरोधिया,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
antecedents,माडाङखोन,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
anticipated expenditure,प्रत्याशित खोरोच,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
anticipated income,प्रत्याशित आय,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
anticipation,माड़ाङ उइहार,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
